csv_schema_version,media_id,type,title,authors,release_year,purchase_price,created_at,cover_image_hash,isbn,format,total_pages,status,finished_at,tracking_mode,external_identifiers,runtime_minutes,watch_status,watched_at,total_seasons
5,1e9b2a75-1a3b-4c5e-8d9e-1f2a3b4c5d6e,BOOK,The Way of Kings,Brandon Sanderson,2010,9.99,2026-01-01T10:00:00Z,,9780765326355,HARDCOVER,1007,FINISHED,2026-02-15T12:00:01Z,PAGES,ISBN:9780765326355|OPEN_LIBRARY:OL15358652W,,,,
5,2f8c3b86-2b4c-4d6f-9e0f-2a3b4c5d6e7f,BOOK,Words of Radiance,Brandon Sanderson,2014,,2026-02-16T09:00:00Z,,9780765326362,PAPERBACK,1087,READING,,PAGES,,,,,
5,3a7d4c97-3c5d-4e7a-0f1a-3b4c5d6e7f8a,BOOK,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett; Neil Gaiman,1990,14.50,2026-03-01T14:30:00Z,,9780060853983,PAPERBACK,491,TO_READ,,PAGES,ISBN:9780060853983,,,,
5,4b6e5d08-4d6e-4f8b-1a2b-4c5d6e7f8a9b,BOOK,L'Étranger,Albert Camus,1942,,2026-03-05T08:15:00Z,,,PHYSICAL,123,FINISHED,2026-03-10T20:05:00Z,PAGES,OPEN_LIBRARY:OL12345W,,,,
5,5c5f6e19-5e7f-4a9c-2b3c-5d6e7f8a9b0c,BOOK,Beowulf,,,0.00,2026-04-01T11:00:00Z,,,EBOOK,150,DNF,,PAGES,,,,,
5,6d4a7f20-6f8a-4b0d-3c4d-6e7f8a9b0c1d,BOOK,Project Hail Mary,Andy Weir,2021,21.99,2026-04-10T09:00:00Z,,9780593135204,AUDIOBOOK,,FINISHED,2026-04-20T17:30:00Z,PERCENT,,,,,
5,11111111-1111-4111-8111-111111111111,BOOK,The Left Hand of Darkness,Ursula K. Le Guin,1969,12.99,2026-01-05T09:15:00Z,,9780441478125,PAPERBACK,304,FINISHED,2026-02-01T21:40:00Z,PAGES,ISBN:9780441478125,,,,
5,22222222-2222-4222-8222-222222222222,BOOK,A Wizard of Earthsea,Ursula K. Le Guin,1968,9.50,2026-01-06T09:15:00Z,,9780553262506,PAPERBACK,183,FINISHED,2026-02-10T18:05:00Z,PAGES,ISBN:9780553262506,,,,
5,44444444-4444-4444-8444-444444444444,BOOK,Piranesi,Susanna Clarke,2020,,2026-01-08T09:15:00Z,,9781635575637,EBOOK,272,READING,,PERCENT,ISBN:9781635575637,,,,
5,55555555-5555-4555-8555-555555555555,BOOK,The Dispossessed,Ursula K. Le Guin,1974,11.25,2026-01-09T09:15:00Z,,9780061054884,PAPERBACK,387,TO_READ,,PAGES,ISBN:9780061054884,,,,
5,77777777-7777-4777-8777-777777777777,BOOK,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas Hofstadter,1979,25.00,2026-01-11T09:15:00Z,,9780465026562,HARDCOVER,777,DNF,,PAGES,ISBN:9780465026562,,,,
5,88888888-8888-4888-8888-888888888888,BOOK,An Untitled Manuscript With No ISBN,,2024,,2026-01-12T09:15:00Z,,,PHYSICAL,120,TO_READ,,PAGES,,,,,
5,9a1e0000-0000-4000-8000-000000000001,MOVIE,Arrival,,2016,9.99,2026-05-01T10:00:00Z,,,,,,,,,116,WATCHED,2026-05-02T21:30:00Z,
5,9a1e0000-0000-4000-8000-000000000002,MOVIE,Dune: Part Two,,2024,,2026-05-03T10:00:00Z,,,,,,,,,166,WATCHLIST,,
5,9a1e0000-0000-4000-8000-000000000003,MOVIE,Everything Everywhere All at Once,,2022,14.99,2026-05-04T10:00:00Z,,,,,,,,,139,WATCHING,,
5,9a1e0000-0000-4000-8000-000000000004,MOVIE,Solaris,,1972,,2026-05-05T10:00:00Z,,,,,,,,,,ABANDONED,,
5,7b2f0000-0000-4000-8000-000000000001,TV_SHOW,Severance,,2022,,2026-05-06T10:00:00Z,,,,,,,,,,WATCHING,,2
5,7b2f0000-0000-4000-8000-000000000002,TV_SHOW,Chernobyl,,2019,24.99,2026-05-07T10:00:00Z,,,,,,,,,,WATCHED,,1
5,7b2f0000-0000-4000-8000-000000000003,TV_SHOW,The Expanse,,2015,,2026-05-08T10:00:00Z,,,,,,,,,,WATCHLIST,,6
