csv_schema_version,session_id,media_id,timestamp_start,timestamp_end,duration_seconds,start_unit,end_unit,delta_pages,notes
2,aaaaaaaa-0001-4000-8000-000000000001,11111111-1111-4111-8111-111111111111,2026-01-18T19:05:00Z,2026-01-18T20:10:00Z,3900,0.0,52.0,52,Opening chapters
2,aaaaaaaa-0001-4000-8000-000000000002,11111111-1111-4111-8111-111111111111,2026-01-22T21:00:00Z,2026-01-22T21:48:00Z,2880,52.0,98.0,46,
2,aaaaaaaa-0001-4000-8000-000000000003,11111111-1111-4111-8111-111111111111,2026-01-26T07:40:00Z,2026-01-26T08:25:00Z,2700,101.0,147.0,46,"Read on the train, missed my stop"
2,aaaaaaaa-0001-4000-8000-000000000004,11111111-1111-4111-8111-111111111111,2026-01-30T20:15:00Z,2026-01-30T22:05:00Z,6600,147.0,241.0,94,
2,aaaaaaaa-0001-4000-8000-000000000005,11111111-1111-4111-8111-111111111111,2026-02-01T20:00:00Z,2026-02-01T21:40:00Z,6000,241.0,304.0,63,Finished - the ice crossing is the whole book
2,aaaaaaaa-0002-4000-8000-000000000001,22222222-2222-4222-8222-222222222222,2026-02-04T18:30:00Z,2026-02-04T19:20:00Z,3000,0.0,61.0,61,
2,aaaaaaaa-0002-4000-8000-000000000002,22222222-2222-4222-8222-222222222222,2026-02-07T21:10:00Z,2026-02-07T22:00:00Z,,61.0,128.0,67,"Backdated, no idea how long this actually took"
2,aaaaaaaa-0002-4000-8000-000000000003,22222222-2222-4222-8222-222222222222,2026-02-10T17:05:00Z,2026-02-10T18:05:00Z,3600,128.0,183.0,55,
2,aaaaaaaa-0003-4000-8000-000000000001,33333333-3333-4333-8333-333333333333,2026-02-14T08:30:00Z,2026-02-14T09:00:00Z,1800,0.0,34.0,34,Commute
2,aaaaaaaa-0003-4000-8000-000000000002,33333333-3333-4333-8333-333333333333,2026-02-16T22:00:00Z,2026-02-16T23:15:00Z,4500,34.0,120.0,86,
2,aaaaaaaa-0003-4000-8000-000000000003,33333333-3333-4333-8333-333333333333,2026-02-19T08:30:00Z,2026-02-19T09:02:00Z,1920,120.0,151.0,31,"Commute reading, noisy train"
2,aaaaaaaa-0004-4000-8000-000000000001,44444444-4444-4444-8444-444444444444,2026-02-20T20:00:00Z,2026-02-20T20:40:00Z,2400,0.0,14.0,,Percent-tracked ebook
2,aaaaaaaa-0004-4000-8000-000000000002,44444444-4444-4444-8444-444444444444,2026-02-23T21:30:00Z,2026-02-23T22:20:00Z,3000,14.0,38.0,,
2,aaaaaaaa-0007-4000-8000-000000000001,77777777-7777-4777-8777-777777777777,2026-01-14T19:00:00Z,2026-01-14T19:55:00Z,3300,0.0,41.0,41,Ambitious start
2,aaaaaaaa-0007-4000-8000-000000000002,77777777-7777-4777-8777-777777777777,2026-01-17T20:30:00Z,2026-01-17T21:00:00Z,1800,41.0,73.0,32,
2,aaaaaaaa-0007-4000-8000-000000000003,77777777-7777-4777-8777-777777777777,2026-01-21T22:10:00Z,2026-01-21T22:35:00Z,1500,73.0,118.0,45,Shelved for now
